DL_REQUEST_ID,DL_REQUEST_NAME,DL_SNAPSHOT_START_TIME,DL_SNAPSHOT_TZ,IDENTIFIER,RC,DATE,PX_VOLUME,PX_OPEN
uUNihmy6o6q3,safexvolume,2025-04-22T21:08:13,JST,EBZ4 Comdty,0,2024-04-17,134,6020
uUNihmy6o6q3,safexvolume,2025-04-22T21:08:13,JST,EBZ4 Comdty,0,2024-04-18,8,6020
uUNihmy6o6q3,safexvolume,2025-04-22T21:08:13,JST,EBZ4 Comdty,0,2024-04-19,29,6103.8
uUNihmy6o6q3,safexvolume,2025-04-22T21:08:13,JST,EBZ4 Comdty,0,2024-04-22,7,6082
uUNihmy6o6q3,safexvolume,2025-04-22T21:08:13,JST,EBZ4 Comdty,0,2024-04-23,62,6160.6
uUNihmy6o6q3,safexvolume,2025-04-22T21:08:13,JST,EBZ4 Comdty,0,2024-04-24,136,6200
uUNihmy6o6q3,safexvolume,2025-04-22T21:08:13,JST,EBZ4 Comdty,0,2024-04-25,176,6256
uUNihmy6o6q3,safexvolume,2025-04-22T21:08:13,JST,EBZ4 Comdty,0,2024-04-26,323,6298
uUNihmy6o6q3,safexvolume,2025-04-22T21:08:13,JST,EBZ4 Comdty,0,2024-04-29,99,6310
uUNihmy6o6q3,safexvolume,2025-04-22T21:08:13,JST,EBZ4 Comdty,0,2024-04-30,41,6270
uUNihmy6o6q3,safexvolume,2025-04-22T21:08:13,JST,EBZ4 Comdty,0,2024-05-02,60,6220
uUNihmy6o6q3,safexvolume,2025-04-22T21:08:13,JST,EBZ4 Comdty,0,2024-05-03,226,6260
uUNihmy6o6q3,safexvolume,2025-04-22T21:08:13,JST,EBZ4 Comdty,0,2024-05-06,105,6220
uUNihmy6o6q3,safexvolume,2025-04-22T21:08:13,JST,EBZ4 Comdty,0,2024-05-07,118,6300
uUNihmy6o6q3,safexvolume,2025-04-22T21:08:13,JST,EBZ4 Comdty,0,2024-05-08,45,6302
uUNihmy6o6q3,safexvolume,2025-04-22T21:08:13,JST,EBZ4 Comdty,0,2024-05-09,22,6192
uUNihmy6o6q3,safexvolume,2025-04-22T21:08:13,JST,EBZ4 Comdty,0,2024-05-10,60,6200
uUNihmy6o6q3,safexvolume,2025-04-22T21:08:13,JST,EBZ4 Comdty,0,2024-05-13,119,6310
uUNihmy6o6q3,safexvolume,2025-04-22T21:08:13,JST,EBZ4 Comdty,0,2024-05-14,419,6375
uUNihmy6o6q3,safexvolume,2025-04-22T21:08:13,JST,EBZ4 Comdty,0,2024-05-15,95,6400
uUNihmy6o6q3,safexvolume,2025-04-22T21:08:13,JST,EBZ4 Comdty,0,2024-05-16,80,6380
uUNihmy6o6q3,safexvolume,2025-04-22T21:08:13,JST,EBZ4 Comdty,0,2024-05-17,117,6350
uUNihmy6o6q3,safexvolume,2025-04-22T21:08:13,JST,EBZ4 Comdty,0,2024-05-20,361,6343
uUNihmy6o6q3,safexvolume,2025-04-22T21:08:13,JST,EBZ4 Comdty,0,2024-05-21,334,6429.8
uUNihmy6o6q3,safexvolume,2025-04-22T21:08:13,JST,EBZ4 Comdty,0,2024-05-22,278,6480
uUNihmy6o6q3,safexvolume,2025-04-22T21:08:13,JST,EBZ4 Comdty,0,2024-05-23,231,6485
uUNihmy6o6q3,safexvolume,2025-04-22T21:08:13,JST,EBZ4 Comdty,0,2024-05-24,539,6495
uUNihmy6o6q3,safexvolume,2025-04-22T21:08:13,JST,EBZ4 Comdty,0,2024-05-27,347,6490
uUNihmy6o6q3,safexvolume,2025-04-22T21:08:13,JST,EBZ4 Comdty,0,2024-05-28,600,6550
uUNihmy6o6q3,safexvolume,2025-04-22T21:08:13,JST,EBZ4 Comdty,0,2024-05-30,463,6545
uUNihmy6o6q3,safexvolume,2025-04-22T21:08:13,JST,EBZ4 Comdty,0,2024-05-31,800,6600
uUNihmy6o6q3,safexvolume,2025-04-22T21:08:13,JST,EBZ4 Comdty,0,2024-06-03,202,6630
uUNihmy6o6q3,safexvolume,2025-04-22T21:08:13,JST,EBZ4 Comdty,0,2024-06-04,222,6520
uUNihmy6o6q3,safexvolume,2025-04-22T21:08:13,JST,EBZ4 Comdty,0,2024-06-05,224,6580
uUNihmy6o6q3,safexvolume,2025-04-22T21:08:13,JST,EBZ4 Comdty,0,2024-06-06,598,6546
uUNihmy6o6q3,safexvolume,2025-04-22T21:08:13,JST,EBZ4 Comdty,0,2024-06-07,631,6569.8
uUNihmy6o6q3,safexvolume,2025-04-22T21:08:13,JST,EBZ4 Comdty,0,2024-06-10,564,6499
uUNihmy6o6q3,safexvolume,2025-04-22T21:08:13,JST,EBZ4 Comdty,0,2024-06-11,439,6399
uUNihmy6o6q3,safexvolume,2025-04-22T21:08:13,JST,EBZ4 Comdty,0,2024-06-12,441,6375
uUNihmy6o6q3,safexvolume,2025-04-22T21:08:13,JST,EBZ4 Comdty,0,2024-06-13,1022,6363
uUNihmy6o6q3,safexvolume,2025-04-22T21:08:13,JST,EBZ4 Comdty,0,2024-06-14,378,6245
uUNihmy6o6q3,safexvolume,2025-04-22T21:08:13,JST,EBZ4 Comdty,0,2024-06-18,560,6178
uUNihmy6o6q3,safexvolume,2025-04-22T21:08:13,JST,EBZ4 Comdty,0,2024-06-19,951,5970
uUNihmy6o6q3,safexvolume,2025-04-22T21:08:13,JST,EBZ4 Comdty,0,2024-06-20,1322,6133
uUNihmy6o6q3,safexvolume,2025-04-22T21:08:13,JST,EBZ4 Comdty,0,2024-06-21,867,6219.6
uUNihmy6o6q3,safexvolume,2025-04-22T21:08:13,JST,EBZ4 Comdty,0,2024-06-24,602,6034
uUNihmy6o6q3,safexvolume,2025-04-22T21:08:13,JST,EBZ4 Comdty,0,2024-06-25,672,6095
uUNihmy6o6q3,safexvolume,2025-04-22T21:08:13,JST,EBZ4 Comdty,0,2024-06-26,1167,6170
uUNihmy6o6q3,safexvolume,2025-04-22T21:08:13,JST,EBZ4 Comdty,0,2024-06-27,536,6200
uUNihmy6o6q3,safexvolume,2025-04-22T21:08:13,JST,EBZ4 Comdty,0,2024-06-28,865,6162
uUNihmy6o6q3,safexvolume,2025-04-22T21:08:13,JST,EBZ4 Comdty,0,2024-07-01,348,6004
uUNihmy6o6q3,safexvolume,2025-04-22T21:08:13,JST,EBZ4 Comdty,0,2024-07-02,599,6175
uUNihmy6o6q3,safexvolume,2025-04-22T21:08:13,JST,EBZ4 Comdty,0,2024-07-03,539,6220
uUNihmy6o6q3,safexvolume,2025-04-22T21:08:13,JST,EBZ4 Comdty,0,2024-07-04,138,6205
uUNihmy6o6q3,safexvolume,2025-04-22T21:08:13,JST,EBZ4 Comdty,0,2024-07-05,207,6196
uUNihmy6o6q3,safexvolume,2025-04-22T21:08:13,JST,EBZ4 Comdty,0,2024-07-08,487,6260
uUNihmy6o6q3,safexvolume,2025-04-22T21:08:13,JST,EBZ4 Comdty,0,2024-07-09,1069,6140
uUNihmy6o6q3,safexvolume,2025-04-22T21:08:13,JST,EBZ4 Comdty,0,2024-07-10,706,6113
uUNihmy6o6q3,safexvolume,2025-04-22T21:08:13,JST,EBZ4 Comdty,0,2024-07-11,430,6071
uUNihmy6o6q3,safexvolume,2025-04-22T21:08:13,JST,EBZ4 Comdty,0,2024-07-12,665,6080
uUNihmy6o6q3,safexvolume,2025-04-22T21:08:13,JST,EBZ4 Comdty,0,2024-07-15,800,5990
uUNihmy6o6q3,safexvolume,2025-04-22T21:08:13,JST,EBZ4 Comdty,0,2024-07-16,1034,5995
uUNihmy6o6q3,safexvolume,2025-04-22T21:08:13,JST,EBZ4 Comdty,0,2024-07-17,1214,5992
uUNihmy6o6q3,safexvolume,2025-04-22T21:08:13,JST,EBZ4 Comdty,0,2024-07-18,884,6015
uUNihmy6o6q3,safexvolume,2025-04-22T21:08:13,JST,EBZ4 Comdty,0,2024-07-19,215,6100
uUNihmy6o6q3,safexvolume,2025-04-22T21:08:13,JST,EBZ4 Comdty,0,2024-07-22,545,6126
uUNihmy6o6q3,safexvolume,2025-04-22T21:08:13,JST,EBZ4 Comdty,0,2024-07-23,347,6190
uUNihmy6o6q3,safexvolume,2025-04-22T21:08:13,JST,EBZ4 Comdty,0,2024-07-24,635,6180
uUNihmy6o6q3,safexvolume,2025-04-22T21:08:13,JST,EBZ4 Comdty,0,2024-07-25,101,6145
uUNihmy6o6q3,safexvolume,2025-04-22T21:08:13,JST,EBZ4 Comdty,0,2024-07-26,84,6061.2
uUNihmy6o6q3,safexvolume,2025-04-22T21:08:13,JST,EBZ4 Comdty,0,2024-07-29,207,6039
uUNihmy6o6q3,safexvolume,2025-04-22T21:08:13,JST,EBZ4 Comdty,0,2024-07-30,362,6065
uUNihmy6o6q3,safexvolume,2025-04-22T21:08:13,JST,EBZ4 Comdty,0,2024-07-31,480,6002
uUNihmy6o6q3,safexvolume,2025-04-22T21:08:13,JST,EBZ4 Comdty,0,2024-08-01,443,6044.8
uUNihmy6o6q3,safexvolume,2025-04-22T21:08:13,JST,EBZ4 Comdty,0,2024-08-02,219,6120
uUNihmy6o6q3,safexvolume,2025-04-22T21:08:13,JST,EBZ4 Comdty,0,2024-08-05,621,6194
uUNihmy6o6q3,safexvolume,2025-04-22T21:08:13,JST,EBZ4 Comdty,0,2024-08-06,808,6220
uUNihmy6o6q3,safexvolume,2025-04-22T21:08:13,JST,EBZ4 Comdty,0,2024-08-07,832,6248
uUNihmy6o6q3,safexvolume,2025-04-22T21:08:13,JST,EBZ4 Comdty,0,2024-08-08,570,6278
uUNihmy6o6q3,safexvolume,2025-04-22T21:08:13,JST,EBZ4 Comdty,0,2024-08-12,861,6280
uUNihmy6o6q3,safexvolume,2025-04-22T21:08:13,JST,EBZ4 Comdty,0,2024-08-13,522,6300
uUNihmy6o6q3,safexvolume,2025-04-22T21:08:13,JST,EBZ4 Comdty,0,2024-08-14,380,6265
uUNihmy6o6q3,safexvolume,2025-04-22T21:08:13,JST,EBZ4 Comdty,0,2024-08-15,507,6250
uUNihmy6o6q3,safexvolume,2025-04-22T21:08:13,JST,EBZ4 Comdty,0,2024-08-16,422,6236
uUNihmy6o6q3,safexvolume,2025-04-22T21:08:13,JST,EBZ4 Comdty,0,2024-08-19,1062,6179
uUNihmy6o6q3,safexvolume,2025-04-22T21:08:13,JST,EBZ4 Comdty,0,2024-08-20,517,6115
uUNihmy6o6q3,safexvolume,2025-04-22T21:08:13,JST,EBZ4 Comdty,0,2024-08-21,854,6159
uUNihmy6o6q3,safexvolume,2025-04-22T21:08:13,JST,EBZ4 Comdty,0,2024-08-22,1089,6075
uUNihmy6o6q3,safexvolume,2025-04-22T21:08:13,JST,EBZ4 Comdty,0,2024-08-23,1154,6100
uUNihmy6o6q3,safexvolume,2025-04-22T21:08:13,JST,EBZ4 Comdty,0,2024-08-26,1386,6065
uUNihmy6o6q3,safexvolume,2025-04-22T21:08:13,JST,EBZ4 Comdty,0,2024-08-27,1414,6139
uUNihmy6o6q3,safexvolume,2025-04-22T21:08:13,JST,EBZ4 Comdty,0,2024-08-28,670,6117.2
uUNihmy6o6q3,safexvolume,2025-04-22T21:08:13,JST,EBZ4 Comdty,0,2024-08-29,563,6186
uUNihmy6o6q3,safexvolume,2025-04-22T21:08:13,JST,EBZ4 Comdty,0,2024-08-30,1148,6195
uUNihmy6o6q3,safexvolume,2025-04-22T21:08:13,JST,EBZ4 Comdty,0,2024-09-02,1593,6201
uUNihmy6o6q3,safexvolume,2025-04-22T21:08:13,JST,EBZ4 Comdty,0,2024-09-03,664,6220
uUNihmy6o6q3,safexvolume,2025-04-22T21:08:13,JST,EBZ4 Comdty,0,2024-09-04,1032,6230
uUNihmy6o6q3,safexvolume,2025-04-22T21:08:13,JST,EBZ4 Comdty,0,2024-09-05,577,6205
uUNihmy6o6q3,safexvolume,2025-04-22T21:08:13,JST,EBZ4 Comdty,0,2024-09-06,542,6138
uUNihmy6o6q3,safexvolume,2025-04-22T21:08:13,JST,EBZ4 Comdty,0,2024-09-09,595,6070
uUNihmy6o6q3,safexvolume,2025-04-22T21:08:13,JST,EBZ4 Comdty,0,2024-09-10,740,6080
uUNihmy6o6q3,safexvolume,2025-04-22T21:08:13,JST,EBZ4 Comdty,0,2024-09-11,1194,6066.2
uUNihmy6o6q3,safexvolume,2025-04-22T21:08:13,JST,EBZ4 Comdty,0,2024-09-12,938,6060
uUNihmy6o6q3,safexvolume,2025-04-22T21:08:13,JST,EBZ4 Comdty,0,2024-09-13,1081,6005
uUNihmy6o6q3,safexvolume,2025-04-22T21:08:13,JST,EBZ4 Comdty,0,2024-09-16,1334,6000
uUNihmy6o6q3,safexvolume,2025-04-22T21:08:13,JST,EBZ4 Comdty,0,2024-09-17,1095,5970
uUNihmy6o6q3,safexvolume,2025-04-22T21:08:13,JST,EBZ4 Comdty,0,2024-09-18,663,6038
uUNihmy6o6q3,safexvolume,2025-04-22T21:08:13,JST,EBZ4 Comdty,0,2024-09-19,1055,5968.4
uUNihmy6o6q3,safexvolume,2025-04-22T21:08:13,JST,EBZ4 Comdty,0,2024-09-20,1123,5925.2
uUNihmy6o6q3,safexvolume,2025-04-22T21:08:13,JST,EBZ4 Comdty,0,2024-09-23,357,5965
uUNihmy6o6q3,safexvolume,2025-04-22T21:08:13,JST,EBZ4 Comdty,0,2024-09-25,947,5875
uUNihmy6o6q3,safexvolume,2025-04-22T21:08:13,JST,EBZ4 Comdty,0,2024-09-26,651,5905
uUNihmy6o6q3,safexvolume,2025-04-22T21:08:13,JST,EBZ4 Comdty,0,2024-09-27,676,5882
uUNihmy6o6q3,safexvolume,2025-04-22T21:08:13,JST,EBZ4 Comdty,0,2024-09-30,729,5850
