Date,Price,volume,open_price,Year,USDZAR Curncy,W 1 Comdty,W 2 Comdty,WZ1 Comdty,YW1 Comdty,year_month,max_temp,precipitation,avg_temp,min_temp,active_flag,day
2018-08-16,4387,817.0,4380.0,2018,14.7367,542.25,562.0,2334.0,2402.0,201808,65.9022,1.3783335,53.5363,41.15375,0,Thursday
2018-08-23,4425,872.0,4430.0,2018,14.4054,522.0,541.75,2320.0,2388.0,201808,65.9022,1.3783335,53.5363,41.15375,0,Thursday
2018-08-30,4418,959.0,4399.0,2018,14.7247,508.0,535.0,2311.0,2370.0,201808,65.9022,1.3783335,53.5363,41.15375,0,Thursday
2018-09-06,4541,823.0,4570.0,2018,15.3337,486.0,513.75,2444.0,2500.0,201809,70.93334999999999,1.7575,57.9789,45.015,0,Thursday
2018-09-13,4530,676.0,4500.0,2018,14.7716,471.75,497.0,2372.0,2424.0,201809,70.93334999999999,1.7575,57.9789,45.015,0,Thursday
2018-09-20,4455,1165.0,4485.0,2018,14.2875,524.0,542.5,2312.0,2319.0,201809,70.93334999999999,1.7575,57.9789,45.015,0,Thursday
2018-09-27,4394,983.0,4420.0,2018,14.1253,513.0,530.75,2368.0,2415.0,201809,70.93334999999999,1.7575,57.9789,45.015,0,Thursday
2018-10-04,4538,1439.0,4531.0,2018,14.8684,518.0,536.75,2438.0,2482.0,201810,77.61425,1.0375,64.76455,51.9011,0,Thursday
2018-10-11,4470,2158.0,4460.0,2018,14.6332,508.0,529.25,2410.0,2444.0,201810,77.61425,1.0375,64.76455,51.9011,0,Thursday
2018-10-18,4454,839.0,4455.0,2018,14.4506,513.0,533.5,2401.0,2430.0,201810,77.61425,1.0375,64.76455,51.9011,0,Thursday
2018-10-25,4437,826.0,4450.0,2018,14.623,487.25,507.75,2366.0,2380.0,201810,77.61425,1.0375,64.76455,51.9011,0,Thursday
2018-11-01,4452,1449.0,4490.0,2018,14.4077,508.0,522.75,2401.0,2410.0,201811,79.41195,1.363333,66.76445000000001,54.105,0,Thursday
2018-11-08,4349,1787.0,4355.0,2018,14.1355,507.75,519.75,2470.0,2433.0,201811,79.41195,1.363333,66.76445000000001,54.105,0,Thursday
2018-11-15,4305,3485.0,4340.0,2018,14.1768,505.5,514.75,2450.0,2472.0,201811,79.41195,1.363333,66.76445000000001,54.105,0,Thursday
2018-11-22,4240,1759.0,4233.0,2018,13.752,,,2315.0,2319.0,201811,79.41195,1.363333,66.76445000000001,54.105,0,Thursday
2018-11-29,4203,3222.0,4250.0,2018,13.6684,496.5,507.75,2424.0,2344.0,201811,79.41195,1.363333,66.76445000000001,54.105,0,Thursday
2018-12-06,4245,650.0,4238.0,2018,14.0484,505.25,515.5,2499.0,2464.0,201812,82.89865,1.37,71.08845,59.264,0,Thursday
2018-12-13,4302,731.0,4326.0,2018,14.1813,527.75,536.0,2772.0,2656.0,201812,82.89865,1.37,71.08845,59.264,0,Thursday
2019-05-02,4400,90.0,4400.0,2019,14.5353,433.25,444.0,2607.0,2554.0,201905,71.8113,0.7958335000000001,59.89005,47.9597,0,Thursday
2019-05-09,4365,104.0,4370.0,2019,14.3458,421.75,429.5,2518.0,2475.0,201905,71.8113,0.7958335000000001,59.89005,47.9597,0,Thursday
2019-05-16,4392,132.0,4360.0,2019,14.289,467.0,473.5,2588.0,2544.0,201905,71.8113,0.7958335000000001,59.89005,47.9597,0,Thursday
2019-05-23,4373,124.0,4377.0,2019,14.4842,470.25,478.25,2665.0,2619.0,201905,71.8113,0.7958335000000001,59.89005,47.9597,0,Thursday
2019-05-30,4400,141.0,4385.0,2019,14.7313,514.5,522.25,2880.0,2837.0,201905,71.8113,0.7958335000000001,59.89005,47.9597,0,Thursday
2019-06-06,4443,179.0,4440.0,2019,14.9949,510.0,514.25,2865.0,2832.0,201906,66.7664,1.0125,54.22555,41.6703,0,Thursday
2019-06-13,4423,223.0,4421.0,2019,14.8675,535.5,539.0,2873.0,2859.0,201906,66.7664,1.0125,54.22555,41.6703,0,Thursday
2019-06-20,4315,331.0,4325.0,2019,14.3351,526.5,531.75,2790.0,2776.0,201906,66.7664,1.0125,54.22555,41.6703,0,Thursday
2019-06-27,4400,460.0,4380.0,2019,14.1688,547.5,546.75,2888.0,2837.0,201906,66.7664,1.0125,54.22555,41.6703,0,Thursday
2019-07-04,4413,142.0,4411.0,2019,14.0371,,,2925.0,2832.0,201907,66.0578,1.225,53.575,41.08095,0,Thursday
